frequency_hz,1782605969288_blow_normal_event1_peak2.116s_dbfs,1782605969288_blow_normal_event2_peak3.548s_dbfs,1782605969288_blow_normal_event3_peak4.710s_dbfs,1782605969288_blow_normal_event1_peak2.116s_normalized_db,1782605969288_blow_normal_event2_peak3.548s_normalized_db,1782605969288_blow_normal_event3_peak4.710s_normalized_db
60.000000,-35.726778,-49.167136,-65.458973,-7.504715,-6.758302,-16.854011
66.510276,-36.597643,-51.889605,-56.789661,-8.375581,-9.480771,-8.184698
73.726946,-36.597643,-51.889605,-56.789661,-8.375581,-9.480771,-8.184698
81.726658,-39.234629,-53.234312,-53.573179,-11.012566,-10.825478,-4.968217
90.594376,-32.870850,-44.130106,-55.608847,-4.648788,-1.721272,-7.003884
100.424282,-31.753115,-46.732187,-56.966236,-3.531053,-4.323353,-8.361274
111.320777,-40.742466,-45.813571,-60.398276,-12.520404,-3.404737,-11.793314
123.399593,-32.877456,-42.408834,-52.007714,-4.655394,0.000000,-3.402752
136.789015,-40.101268,-52.727944,-51.661340,-11.879205,-10.319110,-3.056378
151.631252,-44.269264,-47.195985,-51.514152,-16.047202,-4.787151,-2.909190
168.083939,-29.247506,-44.124257,-48.604962,-1.025443,-1.715423,0.000000
186.321818,-31.077434,-48.247425,-51.506462,-2.855371,-5.838591,-2.901499
206.538591,-28.802200,-50.351550,-51.656051,-0.580138,-7.942716,-3.051089
228.948977,-28.631186,-50.676711,-57.840221,-0.409124,-8.267877,-9.235259
253.790992,-28.222062,-49.385395,-64.227390,0.000000,-6.976561,-15.622428
281.328480,-44.604516,-53.120795,-68.930546,-16.382453,-10.711961,-20.325584
311.853912,-41.170921,-52.435907,-62.705839,-12.948859,-10.027073,-14.100877
345.691494,-52.089253,-57.652566,-63.418406,-23.867190,-15.243732,-14.813444
383.200608,-35.179154,-63.968783,-67.718985,-6.957091,-21.559949,-19.114023
424.779634,-45.342904,-58.539650,-77.410883,-17.120842,-16.130816,-28.805920
470.870175,-57.024964,-69.284057,-91.705598,-28.802902,-26.875223,-43.100635
521.961751,-51.461580,-65.727112,-75.323111,-23.239518,-23.318278,-26.718148
578.596998,-54.773193,-65.584911,-94.857109,-26.551130,-23.176077,-46.252147
641.377430,-54.625982,-86.581820,-87.085341,-26.403920,-44.172986,-38.480378
710.969826,-46.700161,-82.144812,-95.896590,-18.478099,-39.735978,-47.291627
788.113318,-47.309180,-83.193109,-92.440537,-19.087118,-40.784275,-43.835575
873.627232,-55.395436,-83.180186,-92.649866,-27.173374,-40.771352,-44.044903
968.419798,-55.291401,-79.100389,-91.122044,-27.069339,-36.691555,-42.517082
1073.497794,-58.949825,-76.780227,-90.466924,-30.727763,-34.371393,-41.861961
1189.977234,-54.095557,-78.112354,-102.044658,-25.873495,-35.703521,-53.439696
1319.095229,-66.373977,-81.046588,-81.160338,-38.151914,-38.637754,-32.555375
1462.223119,-67.797193,-74.121139,-88.226867,-39.575131,-31.712305,-39.621905
1620.881042,-63.289843,-79.042989,-87.528307,-35.067781,-36.634155,-38.923345
1796.754079,-82.763423,-77.085256,-81.196423,-54.541360,-34.676422,-32.591461
1991.710147,-78.590406,-82.313519,-85.109313,-50.368344,-39.904685,-36.504351
2207.819845,-74.706222,-80.725072,-101.898447,-46.484159,-38.316239,-53.293484
2447.378437,-73.983007,-78.716118,-84.895184,-45.760944,-36.307285,-36.290222
2712.930236,-84.782097,-83.039326,-88.920386,-56.560035,-40.630492,-40.315424
3007.295626,-89.971351,-86.258155,-84.926671,-61.749289,-43.849321,-36.321708
3333.601011,-86.104612,-94.864855,-96.206250,-57.882550,-52.456021,-47.601288
3695.312030,-83.122785,-93.955411,-93.621987,-54.900723,-51.546577,-45.017024
4096.270355,-102.082261,-97.985092,-114.894950,-73.860199,-55.576258,-66.289988
4540.734500,-82.325212,-96.671614,-97.277575,-54.103149,-54.262780,-48.672613
5033.425045,-83.780004,-93.724915,-96.592816,-55.557942,-51.316081,-47.987854
5579.574777,-85.781094,-91.555324,-103.907622,-57.559031,-49.146490,-55.302660
6184.984264,-89.906519,-98.097327,-100.971837,-61.684457,-55.688493,-52.366874
6856.083460,-83.612656,-99.828195,-98.619990,-55.390593,-57.419361,-50.015027
7600.000000,-74.207199,-89.899973,-96.050431,-45.985136,-47.491139,-47.445468
