frequency_hz,min_normalized_db,p10_normalized_db,mean_normalized_db,p90_normalized_db,max_normalized_db,event_count
60.000000,-58.227936,-36.532145,-18.339936,-1.449901,0.000000,94
66.510276,-55.012642,-38.682088,-18.234614,-2.861999,0.000000,94
73.726946,-55.012642,-38.682088,-18.234614,-2.861999,0.000000,94
81.726658,-50.420395,-37.390784,-17.380541,-3.287843,0.000000,94
90.594376,-57.551874,-40.640430,-17.300866,-1.532725,0.000000,94
100.424282,-54.114677,-37.463671,-16.752175,-2.564158,0.000000,94
111.320777,-48.521836,-36.570422,-16.450085,-1.967543,0.000000,94
123.399593,-49.561275,-35.095043,-15.160402,-2.133362,0.000000,94
136.789015,-50.301713,-28.484847,-12.622115,-1.133767,0.000000,94
151.631252,-42.181211,-24.096060,-12.091912,-1.687369,0.000000,94
168.083939,-56.353575,-29.641142,-14.218118,-1.701311,0.000000,94
186.321818,-56.902575,-30.288722,-13.647961,-2.614451,0.000000,94
206.538591,-52.618318,-29.361326,-14.507406,-3.059667,0.000000,94
228.948977,-59.925672,-32.320858,-15.953777,-3.403030,0.000000,94
253.790992,-50.515818,-30.175872,-15.629251,-3.835476,0.000000,94
281.328480,-45.786711,-25.247790,-14.815915,-3.488995,0.000000,94
311.853912,-40.427546,-30.403161,-16.909578,-4.859577,0.000000,94
345.691494,-42.353743,-32.478980,-19.432858,-7.476586,-0.596339,94
383.200608,-40.906143,-30.296300,-18.770297,-6.412992,0.000000,94
424.779634,-48.481022,-32.656503,-19.139181,-6.901191,-2.021739,94
470.870175,-61.220941,-35.943644,-19.844282,-4.518533,0.000000,94
521.961751,-62.186671,-32.355829,-19.997661,-5.578411,0.000000,94
578.596998,-63.925045,-37.463197,-22.127454,-6.269248,0.000000,94
641.377430,-59.032850,-41.280060,-23.633621,-6.493237,0.000000,94
710.969826,-69.797627,-39.712873,-26.891181,-11.135507,-1.714010,94
788.113318,-77.781544,-49.977971,-30.079364,-10.155345,-4.461032,94
873.627232,-60.368333,-45.695050,-30.257623,-15.386430,-0.483696,94
968.419798,-71.329874,-48.130289,-30.785659,-11.755299,-2.715853,94
1073.497794,-64.980835,-46.773931,-31.923214,-16.635037,-6.495583,94
1189.977234,-71.961682,-53.088301,-35.999740,-21.908170,-7.942371,94
1319.095229,-69.236616,-51.628164,-35.466251,-19.434784,-0.265984,94
1462.223119,-66.849782,-52.287261,-34.860532,-13.128173,0.000000,94
1620.881042,-73.375618,-55.745689,-35.222292,-13.709423,-2.021457,94
1796.754079,-68.336269,-56.425962,-34.088564,-11.037747,0.000000,94
1991.710147,-76.105971,-58.526737,-37.008101,-11.106489,-3.493861,94
2207.819845,-77.662138,-60.851743,-39.520047,-11.744533,-1.714822,94
2447.378437,-76.780933,-59.633739,-36.927960,-9.565955,0.000000,94
2712.930236,-89.375491,-62.209959,-39.453590,-8.958238,0.000000,94
3007.295626,-74.100668,-61.934573,-41.564665,-14.373730,-3.201689,94
3333.601011,-81.831614,-67.240157,-43.889451,-17.875537,-7.058892,94
3695.312030,-76.532525,-63.860026,-42.608962,-19.017428,-1.982966,94
4096.270355,-80.404640,-73.734471,-48.971027,-17.601005,-1.598370,94
4540.734500,-80.583018,-66.083782,-44.844849,-17.163799,-1.065174,94
5033.425045,-83.754474,-66.395270,-43.603438,-14.902917,-4.649329,94
5579.574777,-76.228477,-68.520920,-46.679895,-20.895993,0.000000,94
6184.984264,-83.581456,-69.669148,-43.065455,-13.486838,-0.555160,94
6856.083460,-83.037854,-67.746714,-41.370840,-14.643269,0.000000,94
7600.000000,-95.968246,-68.924962,-45.637185,-22.051141,0.000000,94
