position_0_to_1,min_normalized_db,p10_normalized_db,mean_normalized_db,p90_normalized_db,max_normalized_db,event_count
0.000000,-70.209283,-64.914096,-40.984425,-19.148289,-10.654045,37
0.015873,-70.024694,-65.086371,-40.408568,-16.580468,-8.539961,37
0.031746,-69.809844,-65.275722,-39.581706,-15.591096,-8.433003,37
0.047619,-69.929732,-65.195929,-38.962669,-13.088159,-8.297577,37
0.063492,-69.656703,-65.412933,-37.973561,-13.043127,-9.095598,37
0.079365,-69.783052,-65.169276,-37.195207,-11.773300,-8.976269,37
0.095238,-69.661895,-64.792851,-36.363049,-10.350082,-7.469597,37
0.111111,-69.880287,-63.703146,-35.218756,-10.287762,-6.974553,37
0.126984,-69.620533,-61.593591,-33.780878,-10.044412,-7.607591,37
0.142857,-69.836802,-58.161388,-32.193990,-8.991197,-6.071735,37
0.158730,-68.430728,-51.750150,-30.482918,-9.310593,-4.808532,37
0.174603,-65.233130,-46.928323,-28.121695,-7.746754,-3.344968,37
0.190476,-60.769605,-43.182508,-25.827395,-7.196902,-3.979431,37
0.206349,-57.174693,-40.578248,-23.170814,-7.717016,-3.979189,37
0.222222,-44.097283,-37.193811,-20.883939,-6.828665,-3.413783,37
0.238095,-41.018042,-35.560686,-19.403404,-6.561719,-2.420568,37
0.253968,-36.784667,-30.886538,-17.339480,-6.768464,-0.647508,37
0.269841,-33.601619,-29.246833,-16.260919,-6.271851,0.000000,37
0.285714,-30.627279,-26.692114,-14.511883,-4.504631,-0.315896,37
0.301587,-27.825864,-24.769560,-12.630544,-3.716882,-0.400127,37
0.317460,-24.334005,-22.217461,-11.001209,-2.599169,0.000000,37
0.333333,-22.702524,-19.209508,-8.866549,-2.039989,-0.186556,37
0.349206,-20.439773,-13.409966,-7.262537,-1.570355,-0.063812,37
0.365079,-22.235225,-11.368196,-6.510029,-0.616446,0.000000,37
0.380952,-20.898217,-11.606700,-5.065627,-0.847581,0.000000,37
0.396825,-15.900184,-7.880003,-3.805432,-1.188220,0.000000,37
0.412698,-14.929953,-7.489747,-3.539438,-0.513414,-0.038430,37
0.428571,-9.369706,-6.872810,-3.182739,-0.113481,0.000000,37
0.444444,-10.241763,-7.425923,-3.021545,0.000000,0.000000,37
0.460317,-10.019001,-7.032875,-2.988333,-0.259087,0.000000,37
0.476190,-11.566338,-7.228026,-3.087055,-0.003172,0.000000,37
0.492063,-14.625323,-8.198896,-3.194030,-0.051304,0.000000,37
0.507937,-13.002771,-8.240130,-3.362710,-0.076151,0.000000,37
0.523810,-14.786734,-7.736968,-3.495951,0.000000,0.000000,37
0.539683,-13.508441,-7.322768,-3.825307,-0.290041,0.000000,37
0.555556,-14.866810,-8.787436,-4.500272,-1.073931,-0.234948,37
0.571429,-17.193216,-10.828632,-5.176870,-1.152213,0.000000,37
0.587302,-14.961288,-11.188663,-5.567598,-1.236719,0.000000,37
0.603175,-16.760705,-10.870482,-6.136782,-1.780920,-0.562400,37
0.619048,-16.388558,-11.168182,-6.755746,-2.448512,-0.667497,37
0.634921,-17.672345,-12.032368,-7.141489,-2.941158,-1.650245,37
0.650794,-17.657106,-13.667870,-7.790921,-2.973730,-0.189508,37
0.666667,-21.714615,-14.910119,-8.602712,-2.276175,0.000000,37
0.682540,-24.144421,-15.673738,-9.424438,-2.715473,-0.221790,37
0.698413,-23.160249,-17.564606,-10.541128,-3.044168,-0.321586,37
0.714286,-22.381742,-18.903013,-11.056789,-4.635637,0.000000,37
0.730159,-24.222234,-20.005347,-11.732741,-4.962713,-0.021643,37
0.746032,-31.768277,-22.059826,-13.079368,-5.755683,-2.311963,37
0.761905,-34.770424,-21.695575,-13.856940,-6.566723,-2.070381,37
0.777778,-36.418873,-23.869761,-16.088318,-6.824775,-2.988226,37
0.793651,-32.827752,-25.442588,-17.188321,-8.210423,-5.285397,37
0.809524,-36.206023,-27.764665,-18.247390,-7.594625,-3.593486,37
0.825397,-41.360694,-31.484810,-19.595307,-8.122433,-2.243902,37
0.841270,-45.235809,-35.918034,-20.435633,-9.788805,-1.644134,37
0.857143,-47.915998,-39.089677,-21.812388,-10.756605,-1.316336,37
0.873016,-55.695903,-44.725159,-22.965145,-11.135092,-1.464318,37
0.888889,-66.649249,-46.942545,-24.555804,-13.296370,-5.605168,37
0.904762,-67.323345,-46.723530,-25.551033,-13.292422,-6.245691,37
0.920635,-67.301792,-47.198515,-26.837810,-13.885467,-7.042152,37
0.936508,-67.216633,-48.497468,-28.606177,-14.849512,-7.524227,37
0.952381,-59.155328,-49.380123,-29.123546,-14.165948,-7.241226,37
0.968254,-53.251381,-49.396513,-29.364115,-12.059570,-6.105807,37
0.984127,-54.142327,-50.858330,-30.525758,-10.514686,-5.649164,37
1.000000,-56.343453,-52.120225,-31.910719,-12.270300,-6.466023,37
